model	threshold_youdenJ	TPR_at_youdenJ	TNR_at_youdenJ	YoudenJ	threshold_F1	F1_at_best
SEC	0.4843335747718811	0.9931292941911305	0.9823685961410512	0.9754978903321817	0.524	0.9823036324122943
DIS	0.32797881960868835	0.9904458598726115	0.9766392354658879	0.9670850953384994	0.448	0.9440504334121355
